question,answer,tags,card_type,options,correct_option_idx,typed_compare_mode
frieden,"Frieden bedeutet Ruhe, keine Kriege und eine friedliche, angenehme Atmosphäre.
Peace means no war and a calm, pleasant atmosphere.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
freie,"Das Wort 'im Freien' bedeutet 'draußen', also nicht in einem geschlossenen Raum wie einem Haus oder Zimmer.
The phrase 'im Freien' means 'outside', referring to not being inside a closed room like a house or room.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
benützen (v),"etwas benutzen oder verwenden
to use or make use of something","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
gescheit (adj),"Sehr klug, intelligent oder begabt
Very smart, intelligent, or gifted","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
glut,"Glut ist das leuchtende, heiße Glühen von Kohle oder Feuer, das auch für brennende Augen oder starke Gefühle steht.
Glowing coal or fire, also used metaphorically for burning eyes or strong feelings.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
eingehen (v),"Etwas eingehen bedeutet, dass man in eine Organisation, eine Schule oder eine Gruppe aufgenommen wird und dort Mitglied wird.
To be admitted into an organization, school, or group and become a member.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
antreten (v),"antreten bedeutet, sich zu einer bestimmten Zeit oder an einem bestimmten Ort einzufinden, um etwas zu tun (z. B. zur Arbeit oder zu einem Termin).
to appear or show up at a specific place or time for a purpose (e.g., for work or an appointment).","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
brunnen,"Ein Brunnen ist ein Loch im Boden, aus dem Wasser kommt, oft mit einem Becken, in dem man trinken kann.
A well is a hole in the ground from which water comes, often with a basin where one can drink.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
wehr (v),"Ein Wehr ist eine Mauer oder ein Damm am Fluss, der das Wasser aufhält und den Fluss in zwei Teile teilt.
A weir is a wall or dam across a river that holds back the water and divides the river into two parts.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
scheinbar,"Etwas sieht auf den ersten Blick so aus, ist aber vielleicht nicht wirklich so.
Something appears to be one way at first glance, but might not actually be so.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
hauch,"Ein Hauch ist eine sehr leichte, fast unsichtbare Bewegung von Luft, die man fühlen kann.
A breath or a very light, almost invisible movement of air that can be felt.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
gewöhnlich (adj),"Das Wort 'gewöhnlich' bedeutet, dass etwas oft passiert oder die Norm ist, also 'meistens' oder 'normalerweise'.
The word 'gewöhnlich' means that something happens often or is the norm, so 'usually' or 'normally'.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
überhaupt,"Das Wort 'überhaupt' bedeutet 'überhaupt nicht' (verneinend) oder 'überall/immer' (betonend, dass etwas sehr wichtig oder allgemein gilt).
The word 'überhaupt' means 'at all' (often used in negative sentences) or 'in general' (emphasizing that something applies everywhere or always).","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
herum,"herum bedeutet, dass man sich von Ort zu Ort bewegt oder etwas unruhig und ohne festen Zweck macht.
to move from place to place or to act restlessly without a fixed purpose.","de,hesse_unterm_rad,Moderne,ADP",basic,"",0,ci
ohnehin,"Das Wort 'ohnehin' bedeutet 'trotzdem' oder 'eigentlich schon'. Es zeigt an, dass etwas sowieso der Fall ist, egal was noch passiert.
The word 'ohnehin' means 'anyway' or 'in any case'. It indicates that something is true regardless of other factors.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
soweit,"Es bedeutet, dass der richtige Moment gekommen ist oder etwas endlich geschehen kann.
It means that the right moment has arrived or that something can finally happen.","de,hesse_unterm_rad,Moderne,SCONJ",basic,"",0,ci
ungewöhnlich,"etwas, das nicht oft vorkommt oder nicht so ist wie man es gewohnt ist
something that does not happen often or is not as usual","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
wohlwollen,"Gute Wünsche und Freundlichkeit gegenüber jemandem zeigen.
To show good wishes and kindness towards someone.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
vorbeigehen,"etwas oder jemanden auf dem Weg passieren, ohne zu stoppen oder hinzuschauen
to pass by something or someone on the way without stopping or looking","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
ehre,"Ehre bedeutet das gute Ansehen, das man in der Gesellschaft hat, oder die Pflicht, sich schicklich und tapfer zu verhalten.
Honor or reputation; the duty to behave properly and bravely.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
schweiß,"Schweiß ist eine Flüssigkeit, die aus der Haut kommt, wenn man heiß ist oder viel Angst hat.
Sweat is a liquid that comes from the skin when you are hot or very scared.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
zusprach,"etwas als besonders wichtig oder gut ansehen
to attribute a special positive value or importance to something","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
tun (v),"tun bedeutet im allgemeinen Sinne etwas ausführen oder eine Handlung verrichten. Im Satz bedeutet 'tut Wunder', dass die Spaziergänge einen sehr positiven Effekt haben.
to do or to perform an action. In the sentence, 'tut Wunder' means that the walks have a very positive effect.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
laufen (v),"Das Verb 'laufen' bedeutet, mit den Beinen schnell vorwärts zu gehen.
The verb 'laufen' means to move forward quickly using one's legs.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
zart,"zart bedeutet weich, dünn oder empfindlich, oft verwendet für Haut, Stoff oder Gefühle.
delicate, soft, or thin, often used for skin, fabric, or feelings.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
dort,"dort bedeutet 'an diesem Ort' oder 'da'. Es zeigt an, wo etwas passiert.
dort means 'there' or 'at that place'. It indicates where something happens.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
beizeiten (v),"Beizeiten bedeutet, etwas sehr schnell und in kurzer Zeit zu erledigen, oft mit der Bedeutung 'sofort' oder 'unverzüglich'.
To do something very quickly and in a short time, often with the meaning 'immediately' or 'without delay'.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
verlockend,"etwas, das sehr schön aussieht und einen großen Spaß macht oder sehr gut ist
appealing, tempting, or very attractive","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
ufer,"Das Wort 'Ufer' bedeutet den Rand oder die Kante eines Gewässers wie eines Flusses oder Sees, an dem Land beginnt.
The word 'Ufer' means the edge or bank of a body of water such as a river or lake, where land begins.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
gelten (v),"etwas gilt, wenn es als richtig, wichtig oder gültig angesehen wird; auch: etwas muss man tun oder beachten.
to be considered valid, correct, or important; also: to be required or expected.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
tadellos,"etwas ist tadellos, wenn es absolut perfekt ist und niemand etwas auszusetzen hat.
something is tadellos when it is absolutely perfect and no one has anything to criticize.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
tief,"sehr niedrig, sehr ernst oder sehr stark
very low, very serious, or very deep","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
maß,"Hier bedeutet 'Maß' die richtige Menge oder das richtige Ausmaß, also nicht zu viel und nicht zu wenig.
In this context, 'Maß' means the right amount or proper degree, neither too much nor too little.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
halten (v),"halten bedeutet, etwas festgreifen, aufrecht bleiben oder eine Haltung einnehmen (z. B. den Kopf hochhalten).
to hold, to keep, to remain upright, or to adopt a posture (e.g., to keep one's head up).","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
brannen (v),"brannte bedeutet, dass etwas sehr heiß ist oder stark brennt, aber hier beschreibt es, dass die Augen sehr hell und intensiv leuchteten.
to burn, but here it describes eyes shining very brightly and intensely.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
abschiedsbesuch,"Ein letzter Besuch, den man macht, bevor man eine wichtige Stelle verlässt oder eine lange Zeit nicht mehr gesehen wird.
A final visit made before leaving an important position or before not seeing someone again for a long time.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
versprich,"etwas versprechen, also ein Wort geben, dass man etwas tun oder nicht tun wird
to promise something, i.e., to give your word that you will or will not do something","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
kopfweh,"Kopfschmerz oder starke Schmerzen im Kopf.
headache or severe pain in the head.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
spitz (adj),"Spitz bedeutet, dass etwas eine scharfe, dünne Spitze hat oder nach oben hin schmal wird, wie bei einer Nadel oder einem Ast.
Spitz means having a sharp, thin point at the top, like a needle or a branch.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
feinheit,"Feinheit bedeutet sehr kleine, oft schwer zu merkende Details oder Unterschiede, die man genau beachten muss.
Fineness refers to very small details or differences that must be noticed carefully.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
herzklopfe,"Das Herzklopfen ist das Gefühl, dass das Herz sehr schnell und stark schlägt, oft wegen Angst oder Nerven.
Palpitations or a feeling that the heart is beating very fast and hard, often due to fear or nerves.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
darüber,"darüber bedeutet 'beyond that' or 'past that time' (e.g., past 10 o'clock).
beyond that point in time or space","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
nun,"Von nun an bedeutet ab jetzt oder ab diesem Zeitpunkt.
From now on means from this point in time onwards.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
geist,"Das Wort 'Geist' bedeutet hier nicht nur 'Atem' oder 'Seele', sondern beschreibt einen Zustand der geistigen Anspannung, des Denkens oder der geistigen Reife.
In this context, 'Geist' does not just mean 'breath' or 'soul', but describes a state of mental tension, thinking, or intellectual maturity.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
klosterpfort,"Die Klosterpforte ist der kleine, enge Eingangstor zu einem Kloster oder einer Schule, der oft nur für die besonders guten Schüler offensteht.
The monastery gate is a small, narrow entrance to a monastery or school, often open only for the best students.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
herrscher,"Ein Herrscher ist eine Person, die über andere Menschen die Macht hat, wie ein König oder ein Diktator.
A ruler is a person who has power over other people, such as a king or a dictator.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
bube,"Ein 'Bube' ist ein kleiner Junge oder ein Knabe.
A 'Bube' is a young boy or a lad.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
schlenderen (v),"schlenderen bedeutet, sehr langsam und entspannt zu gehen, oft ohne ein bestimmtes Ziel.
to stroll or walk very slowly and leisurely, often without a specific destination.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
häufig,"etwas, das oft oder sehr viele Male passiert
something that happens often or very many times","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
seele,"Die Seele ist das unsichtbare Innere eines Menschen, das für Gefühle, Gedanken und den Charakter verantwortlich ist.
The soul is the invisible inner part of a person, responsible for feelings, thoughts, and character.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
empfehlen (v),"etwas gut finden und sagen, dass man es machen sollte
to recommend something or say that one should do it","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
blaurandig (adj),"Das Wort 'blaurandig' beschreibt Augen, die durch Übermüdung oder Krankheit einen bläulichen Schimmer haben.
The word 'blaurandig' describes eyes that have a bluish tint due to overexertion or illness.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
falte,"Eine Falte ist eine kleine Linie oder Runzel auf der Haut, die entsteht, wenn die Haut sich zusammenzieht oder wenn man viele Jahre alt ist.
A wrinkle or fold on the skin that appears when the skin tightens or when a person is old.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
erleben (v),"etwas mit den eigenen Sinnen wahrnehmen oder durchmachen
to experience something with one's own senses or to go through something","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
vorbei,"etwas, das man passiert ist oder an dem man vorbeigegangen ist; es bedeutet 'hinaus' oder 'vorüber'.
something that has happened or passed by; it means 'out' or 'past'.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
keineswegs,"Das Wort 'keineswegs' bedeutet 'auf keinen Fall' oder 'gar nicht'. Es wird verwendet, um eine Aussage sehr stark zu verneinen.
The word 'keineswegs' means 'by no means' or 'not at all'. It is used to strongly deny a statement.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
zucken (v),"Schnell und kurz zusammenzucken, oft aus Angst oder Überraschung.
To jerk or twitch suddenly, often due to fear or surprise.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
sonst,"sonst bedeutet 'in anderen Fällen' oder 'außerhalb dieser Zeit'. Es zeigt an, dass etwas anders ist als im vorherigen Satz beschrieben.
otherwise or in other cases; it indicates that something is different from what was described before.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
verscheuchen (v),"etwas wegtreiben oder vertreiben, oft durch Schreien oder Lärm
to drive away or scatter, often by shouting or making noise","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
hingen (v),"Die Arme und Hände hingen herab, das bedeutet, dass sie schlaff und ohne Kraft nach unten ragten.
The arms and hands hung down, meaning they were limp and hanging downwards without strength.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
matt,"etwas, das nicht hell und glänzend ist, sondern eher trüb oder schwach leuchtet
something that is not bright and shiny, but rather dull or dimly shining","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
breit,"Das Wort 'breit' beschreibt etwas, das von einer Seite zur anderen eine große Entfernung hat oder viel Platz einnimmt (z. B. eine breite Straße oder eine breite Brüstung).
The word 'breit' describes something that has a large distance from one side to the other or takes up a lot of space (e.g., a wide street or a wide railing).","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
knapp,"etwas ist knapp, wenn es nicht viel davon gibt oder wenn man sehr wenig Zeit hat.
something is scarce, or there is very little of it; also used to mean 'briefly' or 'concisely'.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
stirn,"Die Stirn ist die flache Stelle an der Vorderseite des Kopfes, zwischen den Augenbrauen und dem Haaransatz.
The forehead is the flat area on the front of the head, between the eyebrows and the hairline.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
besonders,"etwas, das mehr als andere ist; sehr stark oder wichtig
something that is more than others; very strong or important","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
herab,"herab bedeutet 'nach unten' oder 'runter' und zeigt eine Bewegung von oben nach unten an.
herab means 'down' or 'downwards' and indicates a movement from a higher to a lower position.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
schauen (v),"etwas mit den Augen ansehen oder wahrnehmen
to look at something or to perceive it with the eyes","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
weile,"Eine Weile bedeutet eine kurze, unbestimmte Zeit oder einen kurzen Zeitraum.
A while means a short, unspecified period of time.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
zwar,"Das Wort 'zwar' wird verwendet, um eine Tatsache zuzugeben, die aber durch ein 'aber' oder 'jedoch' sofort eingeschränkt oder korrigiert wird.
The word 'zwar' is used to admit a fact that is immediately limited or corrected by 'aber' or 'jedoch'.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
scheu,"Angstlich, vorsichtig oder zurückhaltend, besonders wenn man etwas oder jemanden fürchtet.
Timid, shy, or fearful; acting cautiously because one is afraid of something or someone.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
sehen (v),"etwas mit den Augen wahrnehmen oder beobachten
to see or perceive something with the eyes","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
hübsch (adj),"hübsch bedeutet schön, nett oder sympathisch, oft verwendet für Menschen oder Dinge, die einen angenehmen Eindruck machen.
hübsch means pretty, nice, or pleasant, often used for people or things that make a good impression.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
erstaunt (adj),"Erstaunt bedeutet, dass man sehr überrascht ist, weil etwas passiert ist, das man nicht erwartet hat.
Surprised or shocked because something happened that was unexpected.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
vorüber,"vorüber bedeutet, dass man an etwas oder jemandem entlanggeht, ohne dort zu bleiben oder es genau anzusehen.
to pass by something or someone without stopping or looking at it closely.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
peinlich,"etwas, das sehr unangenehm oder beschämend ist, weil es peinlich macht
something that is very unpleasant or embarrassing because it causes shame","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
leis (adj),"leise bedeutet, dass etwas nur ganz leise passiert oder man nur sehr leise spricht.
quiet means that something happens very softly or someone speaks very quietly.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
still,"ruhig, leise, ohne Lärm oder Bewegung
quiet, silent, without noise or movement","de,hesse_unterm_rad,Moderne,X",basic,"",0,ci
dünn (adj),"dünn bedeutet, dass etwas nicht dick ist oder wenig Masse hat, z. B. bei Papier, Kleidung oder Körperteilen.
thin, meaning something is not thick or has little mass, such as paper, clothing, or body parts.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
herein,"herein bedeutet 'nach innen' oder 'in diese Richtung' und wird verwendet, wenn sich jemand oder etwas in einen geschlossenen Raum bewegt.
herein means 'inward' or 'in this direction' and is used when someone or something moves into an enclosed space.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
blick,"Das Wort 'Blick' bedeutet ein kurzer Moment, in dem man etwas mit den Augen sieht. Es kann auch die Fähigkeit bedeuten, etwas zu bemerken oder zu verstehen.
The word 'Blick' means a short moment of seeing something with the eyes. It can also mean the ability to notice or understand something.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
erfolgreich (adj),"Wenn etwas erfolgreich ist, hat man das Ziel erreicht oder es ist gut gelaufen.
When something is successful, the goal has been reached or things went well.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
drang,"Drang bedeutet ein starkes, inneres Verlangen oder einen starken Wunsch, etwas zu tun oder zu empfinden.
Drang means a strong inner desire or urge to do something or feel something.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
dringend,"etwas, das sehr wichtig ist und schnell erledigt werden muss
something that is very important and must be done quickly","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
unruhig (adj),"unruhig bedeutet, dass jemand nicht ruhig ist, sondern nervös, ungeduldig oder innerlich bewegt.
unruhig means that someone is not calm, but rather nervous, impatient, or internally agitated.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
aufatmend,"Wenn man aufatmend ist, hat man gerade tief ausgeatmet, weil man eine schwere Last oder Angst abgelegt hat.
When someone is 'aufatmend', they have just taken a deep breath because they have put down a heavy burden or fear.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
liegen (v),"etwas befindet sich in einer bestimmten Position, oft flach auf einer Oberfläche oder im Bett
to be located in a certain position, often flat on a surface or in bed","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
hauptfächer,"Das Wort 'Hauptfächer' bedeutet die wichtigsten Schulfächer, die in der Schule besonders viel Zeit und Aufmerksamkeit bekommen.
The word 'Hauptfächer' means the most important school subjects that receive a lot of time and attention at school.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
nahe,"nahe bedeutet 'in der Nähe' oder 'nicht weit entfernt'.
nahe means 'close' or 'not far away'.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
reichhaltig (adj),"viel Inhalt habend, viele Dinge enthaltend oder umfassend
containing a lot, rich in content or variety","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
grazie,"Elegante und natürliche Art und Weise, wie jemand sich bewegt oder wie etwas angeordnet ist.
Elegant and natural manner of movement or arrangement.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
nah,"Das Wort 'nah' bedeutet, dass etwas oder jemand nicht weit weg ist, sondern in der Nähe.
The word 'nah' means that something or someone is not far away, but close.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
hinabhingen (v),"etwas hängt nach unten, z. B. Äste oder Kleidung.
to hang down","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
betonen (v),"etwas besonders wichtig oder stark hervorheben
to emphasize or stress something as particularly important","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
immerhin,"immerhin bedeutet, dass etwas trotz Schwierigkeiten oder negativer Umstände doch noch passiert oder gut ist.
after all, nonetheless, or at least","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
autor,"Ein Autor ist jemand, der Bücher oder Texte schreibt.
An author is someone who writes books or texts.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
verratend (adj),"Das Wort 'verratend' bedeutet, dass etwas zeigt oder verrät, was man nicht sagen will, zum Beispiel Gefühle oder den Charakter einer Person.
The word 'verratend' means that something shows or reveals what one does not want to say, for example feelings or a person's character.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
tannenberge,"Tannenberge sind viele hohe Nadelbäume (Tannen), die zusammen einen Berg oder eine große Waldfläche bedecken.
Tannenberge are many tall fir trees that together cover a mountain or a large forest area.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
weidenäste,"Das Wort 'Weidenäste' bedeutet die Zweige der Weide, einem Baum, der oft an Flüssen wächst.
The word 'Weidenäste' means the branches of the willow, a tree that often grows by rivers.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
schlußrechnung,"Eine Schlußrechnung ist eine mathematische Aufgabe, bei der man am Ende eines Problems das Endergebnis berechnet.
A final calculation or a math problem where you calculate the final result at the end.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
beschäftigen (v),"etwas tun, um Zeit zu verbringen oder sich mit etwas zu befassen
to occupy oneself with something or to spend time doing something","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
gelesen (adj),"gelesen — ein Wort aus dem literarischen Kontext.
(no English gloss for gelesen)","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
